Generation;Game;Gym name;Gym leader;Pokémon;Level;Gender;Move 1;Move 2;Move 3;Move 4;Held Item;Dynamax
1;Blue;Vermilion Gym;Lt. Surge;Voltorb;21;N/A;Tackle;Screech;Sonic Boom;;;
1;Blue;Vermilion Gym;Lt. Surge;Pikachu;18;N/A;Thunder Shock;Growl;Thunder Wave;Quick Attack;;
1;Blue;Vermilion Gym;Lt. Surge;Raichu;24;N/A;Thunder Shock;Growl;Thunderbolt;;;
1;Blue;Celadon Gym;Erika;Victreebel;29;N/A;Razor Leaf;Wrap;Poison Powder;Sleep Powder;;
1;Blue;Celadon Gym;Erika;Tangela;24;N/A;Contrict;Bind;;;;
1;Blue;Celadon Gym;Erika;Vileplume;29;N/A;Petal Dance;Poison Powder;Mega Drain;Sleep Powder;;
1;Blue;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Blue;Fuchsia Gym;Koga;Muk;39;N/A;Disable;Poison Gas;Minimize;Sludge;;
1;Blue;Fuchsia Gym;Koga;Koffing;37;N/A;Tackle;Smog;Sludge;Smoke Screen;;
1;Blue;Fuchsia Gym;Koga;Weezing;43;N/A;Smog;Sludge;Toxic;Self-Destruct;;
1;Blue;Saffron Gym;Sabrina;Kadabra;38;N/A;Disable;Psybeam;Recover;Psychic;;
1;Blue;Saffron Gym;Sabrina;Mr. Mime;37;N/A;Confusion;Barrier;Light Screen;Double Slap;;
1;Blue;Saffron Gym;Sabrina;Venomoth;38;N/A;Poison Powder;Leech Life;Stun Spore;Psybeam;;
1;Blue;Saffron Gym;Sabrina;Alakazam;43;N/A;Psybeam;Recover;Psywave;Reflect;;
1;Blue;Cinnabar Gym;Blaine;Growlithe;42;N/A;Ember;Leer;Take Down;Agility;;
1;Blue;Cinnabar Gym;Blaine;Ponyta;40;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Blue;Cinnabar Gym;Blaine;Rapidash;42;N/A;Tail Whip;Stomp;Growl;Fire Spin;;
1;Blue;Cinnabar Gym;Blaine;Arcanine;47;N/A;Roar;Ember;Fire Blast;Take Down;;
1;Blue;Viridian Gym;Giovanni;Rhyhorn;45;N/A;Stomp;Tail Whip;Fury Attack;Horn Attack;;
1;Blue;Viridian Gym;Giovanni;Dugtrio;42;N/A;Growl;Dig;Sand Attack;Slash;;
1;Blue;Viridian Gym;Giovanni;Nidoqueen;44;N/A;Scratch;Tail Whip;Body Slam;Poison Sting;;
1;Blue;Viridian Gym;Giovanni;Nidoking;45;N/A;Tackle;Horn Attack;Poison Sting;Thrash;;
1;Blue;Viridian Gym;Giovanni;Rhydon;50;N/A;Stomp;Tail Whip;Fissure;Horn Drill;;
1;Blue;Pokemon League;Lorelei;Dewgong;54;N/A;Growl;Aurora Beam;Rest;Take Down;;
1;Blue;Pokemon League;Lorelei;Cloyster;53;N/A;Supersonic;Clamp;Aurora Beam;Spike Cannon;;
1;Blue;Pokemon League;Lorelei;Slowbro;54;N/A;Growl;Water Gun;Withdraw;Amnesia;;
1;Blue;Pokemon League;Lorelei;Jynx;56;N/A;Double Slap;Ice Punch;Body Slam;Thrash;;
1;Blue;Pokemon League;Lorelei;Lapras;56;N/A;Body Slam;Confuse Ray;Blizzard;Hydro Pump;;
1;Blue;Pokemon League;Bruno;Onix;53;N/A;Rock Throw;Rage;Slam;Harden;;
1;Blue;Pokemon League;Bruno;Hitmonchan;55;N/A;Ice Punch;Thunder Punch;Mega Punch;Counter;;
1;Blue;Pokemon League;Bruno;Hitmonlee;55;N/A;Jump Kick;Focus Energy;Hi Jump Kick;Mega Kick;;
1;Blue;Pokemon League;Bruno;Onix;56;N/A;Rock Throw;Rage;Slam;Harden;;
1;Blue;Pokemon League;Bruno;Machamp;58;N/A;Leer;Focus Energy;Fissure;Submission;;
1;Blue;Pokemon League;Agatha;Gengar;56;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Blue;Pokemon League;Agatha;Golbat;56;N/A;Supersonic;Confuse Ray;Wing Attack;Haze;;
1;Blue;Pokemon League;Agatha;Haunter;55;N/A;Confuse Ray;Night Shade;Hypnosis;Dream Eater;;
1;Blue;Pokemon League;Agatha;Arbok;58;N/A;Bite;Glare;Screech;Acid;;
1;Blue;Pokemon League;Agatha;Gengar;60;N/A;Confuse Ray;Night Shade;Toxic;Dream Eater;;
1;Blue;Pokemon League;Lance;Gyarados;58;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Blue;Pokemon League;Lance;Dragonair;56;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Blue;Pokemon League;Lance;Dragonair;57;N/A;Agility;Slam;Dragon Rage;Hyper Beam;;
1;Blue;Pokemon League;Lance;Aerodactyl;60;N/A;Supersonic;Bite;Take Down;Hyper Beam;;
1;Blue;Pokemon League;Lance;Dragonite;62;N/A;Agility;Slam;Barrier;Hyper Beam;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Exeggutor;61;N/A;Barrage;Hypnosis;Stomp;;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Gyarados;63;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Blue;Pokemon League;Blue (starter: Bulbasaur);Charizard;65;N/A;Rage;Slash;Fire Blast;Fire Spin;;
1;Blue;Pokemon League;Blue (starter: Charmander);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Blue;Pokemon League;Blue (starter: Charmander);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Blue;Pokemon League;Blue (starter: Charmander);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Blue;Pokemon League;Blue (starter: Charmander);Arcanine;61;N/A;Roar;Ember;Leer;Take Down;;
1;Blue;Pokemon League;Blue (starter: Charmander);Exeggutor;63;N/A;Barrage;Hypnosis;Stomp;;;
1;Blue;Pokemon League;Blue (starter: Charmander);Blastoise;65;N/A;Bite;Withdraw;Blizzard;Hydro Pump;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Pidgeot;61;N/A;Whirlwind;Wing Attack;Sky Attack;Mirror Move;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Alakazam;59;N/A;Psybeam;Recover;Psychic;Reflect;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Rhydon;61;N/A;Tail Whip;Fury Attack;Horn Drill;Leer;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Gyarados;61;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Arcanine;63;N/A;Roar;Ember;Leer;Take Down;;
1;Blue;Pokemon League;Blue (starter: Squirtle);Venusaur;65;N/A;Razor Leaf;Growth;Mega Drain;Solar Beam;;
1;Yellow;Pewter Gym;Brock;Geodude;10;N/A;Tackle;;;;;
1;Yellow;Pewter Gym;Brock;Onix;12;N/A;Tackle;Screech;Bind;Bide;;
1;Yellow;Cerulean Gym;Misty;Staryu;18;N/A;Tackle;Water Gun;;;;
1;Yellow;Cerulean Gym;Misty;Starmie;21;N/A;Tackle;Water Gun;Harden;Bubble Beam;;
1;Yellow;Vermilion Gym;Lt. Surge;Raichu;28;N/A;Thunderbolt;Mega Punch;Mega Kick;Growl;;
1;Yellow;Celadon Gym;Erika;Tangela;30;N/A;Constrict;Bind;Mega Drain;Vine Whip;;
1;Yellow;Celadon Gym;Erika;Weepinbell;32;N/A;Razor Leaf;Sleep Powder;Stun Spore;Acid;;
1;Yellow;Celadon Gym;Erika;Gloom;32;N/A;Petal Dance;Stun Spore;Sleep Powder;Acid;;
1;Yellow;Fuchsia Gym;Koga;Venonat;44;N/A;Toxic;Tackle;Sleep Powder;Psychic;;
1;Yellow;Fuchsia Gym;Koga;Venonat;46;N/A;Toxic;Psybeam;Supersonic;Psychic;;
1;Yellow;Fuchsia Gym;Koga;Venonat;48;N/A;Toxic;Double-Edge;Sleep Powder;Psychic;;
1;Yellow;Fuchsia Gym;Koga;Venomoth;50;N/A;Leech Life;Double Team;Psychic;Toxic;;
1;Yellow;Saffron Gym;Sabrina;Abra;50;N/A;Flash;;;;;
1;Yellow;Saffron Gym;Sabrina;Kadabra;50;N/A;Kinesis;Recover;Psychic;Psywave;;
1;Yellow;Saffron Gym;Sabrina;Alakazam;50;N/A;Psywave;Recover;Psychic;Reflect;;
1;Yellow;Cinnabar Gym;Blaine;Ninetales;48;N/A;Flamethrower;Tail Whip;Quick Attack;Confuse Ray;;
1;Yellow;Cinnabar Gym;Blaine;Rapidash;50;N/A;Stomp;Growl;Fire Spin;Take Down;;
1;Yellow;Cinnabar Gym;Blaine;Arcanine;54;N/A;Flamethrower;Fire Blast;Reflect;Take Down;;
1;Yellow;Viridian Gym;Giovanni;Dugtrio;50;N/A;Dig;Sand Attack;Fissure;Earthquake;;
1;Yellow;Viridian Gym;Giovanni;Persian;53;N/A;Screech;Double Team;Fury Swipes;Slash;;
1;Yellow;Viridian Gym;Giovanni;Nidoqueen;53;N/A;Earthquake;Tail Whip;Thunder;Double Kick;;
1;Yellow;Viridian Gym;Giovanni;Nidoking;55;N/A;Earthquake;Leer;Thunder;Double Kick;;
1;Yellow;Viridian Gym;Giovanni;Rhydon;55;N/A;Rock Slide;Fury Attack;Horn Drill;Earthquake;;
1;Yellow;Pokemon League;Lorelei;Dewgong;54;N/A;Bubble Beam;Aurora Beam;Rest;Take Down;;
1;Yellow;Pokemon League;Lorelei;Cloyster;53;N/A;Supersonic;Clamp;Ice Beam;Spike Cannon;;
1;Yellow;Pokemon League;Lorelei;Slowbro;54;N/A;Psychic;Surf;Withdraw;Amnesia;;
1;Yellow;Pokemon League;Lorelei;Jynx;56;N/A;Double Slap;Ice Punch;Lovely Kiss;Thrash;;
1;Yellow;Pokemon League;Lorelei;Lapras;56;N/A;Body Slam;Confuse Ray;Blizzard;Hydro Pump;;
1;Yellow;Pokemon League;Bruno;Onix;53;N/A;Rock Slide;Screech;Slam;Dig;;
1;Yellow;Pokemon League;Bruno;Hitmonchan;55;N/A;Ice Punch;Thunder Punch;Fire Punch;Double Team;;
1;Yellow;Pokemon League;Bruno;Hitmonlee;55;N/A;Double Kick;Mega Kick;Hi Jump Kick;Double Team;;
1;Yellow;Pokemon League;Bruno;Onix;56;N/A;Rock Slide;Screech;Slam;Earthquake;;
1;Yellow;Pokemon League;Bruno;Machamp;58;N/A;Leer;Karate Chop;Strength;Submission;;
1;Yellow;Pokemon League;Agatha;Gengar;56;N/A;Confuse Ray;Substitute;Lick;Mega Drain;;
1;Yellow;Pokemon League;Agatha;Golbat;56;N/A;Supersonic;Toxic;Wing Attack;Leech Life;;
1;Yellow;Pokemon League;Agatha;Haunter;55;N/A;Confuse Ray;Lick;Hypnosis;Dream Eater;;
1;Yellow;Pokemon League;Agatha;Arbok;58;N/A;Wrap;Glare;Screech;Acid;;
1;Yellow;Pokemon League;Agatha;Gengar;60;N/A;Confuse Ray;Psychic;Hypnosis;Dream Eater;;
1;Yellow;Pokemon League;Lance;Gyarados;58;N/A;Dragon Rage;Leer;Hydro Pump;Hyper Beam;;
1;Yellow;Pokemon League;Lance;Dragonair;56;N/A;Thunder Wave;Slam;Thunderbolt;Hyper Beam;;
1;Yellow;Pokemon League;Lance;Dragonair;57;N/A;Bubble Beam;Wrap;Ice Beam;Hyper Beam;;
1;Yellow;Pokemon League;Lance;Aerodactyl;60;N/A;Wing Attack;Swift;Fly;Hyper Beam;;
1;Yellow;Pokemon League;Lance;Dragonite;62;N/A;Blizzard;Fire Blast;Thunder;Hyper Beam;;
1;Yellow;Pokemon League;Blue (Eevee into Vaporeon);Sandslash;61;N/A;Earthquake;Slash;Poison Sting;Fury Swipes;;
1;Yellow;Pokemon League;Blue (Eevee into Vaporeon);Alakazam;59;N/A;Psybeam;Recover;Psychic;Kinesis;;
1;Yellow;Pokemon League;Blue (Eevee into Vaporeon);Exeggutor;61;N/A;Barrage;Hypnosis;Stomp;Leech Seed;;
1;Yellow;Pokemon League;Blue (Eevee into Vaporeon);Ninetales;61;N/A;Fire Spin;Tail Whip;Quick Attack;Confuse Ray;;
1;Yellow;Pokemon League;Blue (Eevee into Vaporeon);Magneton;63;N/A;Thunderbolt;Thunder Wave;Screech;Swift;;
